machine_id,timestamp,temperature_c,vibration_mm_s,current_a,pressure_bar,status
PKG-L3,2026-06-10T08:00:00,66.99,3.12,11.15,7.26,normal
PKG-L3,2026-06-10T08:01:00,64.06,3.06,12.08,7.03,normal
PKG-L3,2026-06-10T08:02:00,63.12,3.53,10.04,6.66,normal
PKG-L3,2026-06-10T08:03:00,65.97,2.05,8.78,6.63,normal
PKG-L3,2026-06-10T08:04:00,60.95,3.39,9.59,6.38,normal
PKG-L3,2026-06-10T08:05:00,70.86,3.06,10.57,6.37,normal
PKG-L3,2026-06-10T08:06:00,62.82,3.27,9.35,6.91,normal
PKG-L3,2026-06-10T08:07:00,62.6,3.02,9.9,7.36,normal
PKG-L3,2026-06-10T08:08:00,64.95,2.57,11.32,6.43,normal
PKG-L3,2026-06-10T08:09:00,65.84,2.02,9.17,6.86,normal
PKG-L3,2026-06-10T08:10:00,67.95,3.3,10.38,6.71,normal
PKG-L3,2026-06-10T08:11:00,59.09,2.77,10.04,7.12,normal
PKG-L3,2026-06-10T08:12:00,66.37,2.14,10.82,6.68,normal
PKG-L3,2026-06-10T08:13:00,62.29,3.57,11.53,7.08,normal
PKG-L3,2026-06-10T08:14:00,61.64,3.01,10.83,7.09,normal
PKG-L3,2026-06-10T08:15:00,63.08,3.09,9.39,6.44,normal
PKG-L3,2026-06-10T08:16:00,68.25,4.01,10.43,7.1,normal
PKG-L3,2026-06-10T08:17:00,66.45,2.81,10.86,7.26,normal
PKG-L3,2026-06-10T08:18:00,64.86,4.14,7.88,7.05,normal
PKG-L3,2026-06-10T08:19:00,65.35,3.02,10.59,6.2,normal
PKG-L3,2026-06-10T08:20:00,64.12,3.41,11.98,6.64,normal
PKG-L3,2026-06-10T08:21:00,61.77,2.9,11.42,6.9,normal
PKG-L3,2026-06-10T08:22:00,62.88,3.51,10.6,7.09,normal
PKG-L3,2026-06-10T08:23:00,62.19,3.0,10.11,6.36,normal
PKG-L3,2026-06-10T08:24:00,66.18,3.36,10.51,6.73,normal
PKG-L3,2026-06-10T08:25:00,59.34,2.95,10.16,6.56,normal
PKG-L3,2026-06-10T08:26:00,64.35,3.44,12.39,6.85,normal
PKG-L3,2026-06-10T08:27:00,66.03,3.16,8.58,6.79,normal
PKG-L3,2026-06-10T08:28:00,65.24,4.68,10.31,6.89,normal
PKG-L3,2026-06-10T08:29:00,64.86,2.5,11.64,7.03,normal
PKG-L3,2026-06-10T08:30:00,68.16,2.65,11.9,6.38,normal
PKG-L3,2026-06-10T08:31:00,67.35,4.51,9.51,6.63,normal
PKG-L3,2026-06-10T08:32:00,65.4,2.9,8.95,6.82,normal
PKG-L3,2026-06-10T08:33:00,60.75,3.48,9.58,7.26,normal
PKG-L3,2026-06-10T08:34:00,61.87,3.01,11.31,6.43,normal
PKG-L3,2026-06-10T08:35:00,65.91,3.98,8.89,6.86,normal
PKG-L3,2026-06-10T08:36:00,66.04,3.67,9.26,6.4,normal
PKG-L3,2026-06-10T08:37:00,67.09,3.38,10.75,6.9,normal
PKG-L3,2026-06-10T08:38:00,62.28,3.34,10.79,6.59,normal
